Name,2018 Population
Denver,719116
Colorado Springs,484233
Aurora ,368518
Fort Collins,168913
Lakewood,158417
Thornton ,143451
Arvada ,121931
Westminster ,115497
Pueblo,112911
Centennial,110868
Greeley,110040
Boulder,109068
Longmont ,94998
Loveland,80229
Broomfield,69817
Grand Junction,63355
Castle Rock,61842
Commerce City,57297
Parker,54393
Littleton ,46711
Brighton ,39824
Northglenn ,39280
Englewood,36146
Wheat Ridge,31822
Fountain,29931
Lafayette,29513
Erie ,25393
Windsor ,24898
Evans,22155
Louisville,21737
Golden,20860
Montrose,19945
Durango,19381
Cañon City,17173
Johnstown ,16479
Greenwood Village,16005
Firestone,14779
Sterling,13912
Frederick,13712
Superior ,13543
Lone Tree,13463
Fruita,13216
Steamboat Springs,13040
Federal Heights,12626
Fort Morgan,11434
Glenwood Springs,10283
Alamosa,10182
Castle Pines,10154
Rifle,9977
Wellington,9834
Cortez,9585
Craig,9220
Delta,9196
Fort Lun,8199
Trinidad,8137
Woodland Park,7822
Lamar,7498
Milliken,7288
Gypsum,7227
Carbondale,7065
La Junta,6932
Berthoud ,6922
Eagle,6911
Aspen,6853
Monument,6834
Cherry Hills Village,6709
Avon,6613
Estes Park,6450
Gunnison,6417
Lochbuie ,6379
Sheridan,6073
Salida,5829
Dacono,5710
Vail,5567
Manitou Springs,5423
Eaton,5396
Edgewater,5381
Brush,5320
Glendale,5223
Breckenridge,5012
New Castle,4975
Silverthorne,4791
Mead,4711
Severance,4667
Monte Vista,4274
Burlington,4152
Florence,4081
Basalt ,4005
Timnath,3929
Rocky Ford,3820
Yuma,3590
Frisco,3256
Silt,3209
Orchard City,3179
Walsenburg,3130
Platteville,2922
Buena Vista,2890
Snowmass Village,2868
Leadville,2807
Bayfield,2754
Palmer Lake,2745
Palisade,2680
Telluride,2552
Bennett ,2500
Wray,2367
Rangely,2350
Meeker,2346
Center ,2322
Cedaredge,2298
La Salle,2268
Lyons,2164
Holyoke,2161
Las Animas,2161
Granby,2044
Limon,2035
Pagosa Springs,1992
Hayden,1908
Olathe,1842
Ault,1799
Akron,1763
Idaho Springs,1760
Crested Butte,1666
Mancos,1622
Kersey,1615
Del Norte,1602
Hudson,1601
Nederland,1572
Kremmling,1570
Columbine Valley,1504
Paonia,1469
Mountain Village,1467
Pierce,1444
Elizabeth,1382
Springfield,1354
Fraser,1336
Julesburg,1263
Cripple Creek,1237
Keenesburg,1218
Fowler,1147
Parachute,1143
Ouray,1101
Winter Park,1099
Gilcrest,1093
Ordway,1079
Ridgway,1069
Georgetown,1068
Dolores,1061
Minturn,1055
Bow Mar ,1007
Dillon,985
Manassa,983
Blue River,947
Hotchkiss,946
Oak Creek,922
Haxtun,899
Wiggins,874
Sanford,869
Cheyenne Wells,864
Mount Crested Butte,851
Log Lane Village,848
Deer Trail,823
La Veta,821
Calhan,811
Foxfield,798
La Jara,796
Poncha Springs,793
Dove Creek,776
Hugo,761
Central City ,753
Holly,751
Antonito,750
Fairplay,740
Hot Sulphur Springs,738
Kiowa,732
Ignacio,731
Nucla,722
Collbran,709
Green Mountain Falls ,691
San Luis,685
Williamsburg,685
Silver Cliff,649
Stratton,646
Silverton,628
Westcliffe,619
Simla,610
Norwood,596
Swink,592
Walden,582
Eads,554
Flagler,548
Naturita,538
Mountain View,530
Grand Lake,523
Rockvale,518
Saguache,510
Walsh,504
De Beque,499
Otis,493
Granada,477
Aguilar,473
