Zipcode,Total Population 2013,Total Population 2013 Margin of Error,Total Unemployment 2013,Total Unemployment 2013 margin of Error,Age Group 16-19 2013,Age Group 16-19 2013 Margin of Error,Age Group 16-19 2013 Unemployment,Age Group 16-19 2013 Unemployment Margin of Error,Age Group 20-24 2013,Age Group 20-24 2013 Margin of Error,Age Group 20-24 2013 Unemployment,Age Group 20-24 2013 Unemployment Margin of Error,Age Group 25-44 2013,Age Group 25-44 2013 Margin of Error,Age Group 25-44 2013 Unemployment,Age Group 25-44 2013 Unemployment Margin of Error,Age Group 45-54 2013,Age Group 45-54 2013 Margin of Error,Age Group 45-54 2013 Unemployment,Age Group 45-54 2013 Unemployment Margin of Error,Age Group 55-64 2013,Age Group 55-64 2013 Margin of Error,Age Group 55-64 2013 Unemployment,Age Group 55-64 2013 Unemployment Margin of Error,Age Group 65-74 2013,Age Group 65-74 2013 Margin of Error,Age Group 65-74 2013 Unemployment,Age Group 65-74 2013 Unemployment Margin of Error,Age Group 75+ 2013,Age Group 75+ 2013 Margin of Error,Age Group 75+ 2013 Unemployment,Age Group 75+ 2013 Unemployment Margin of Error
67879,997,72,2,2.1,85,38,0,33.4,23,18,0,58.2,186,44,5.1,5.8,253,41,1.8,2.9,160,36,0,17.9,110,26,0,45.3,180,32,0,100
80002,15268,809,6.9,2.1,693,191,30.4,17.7,1359,244,7.6,5.6,5570,668,7,4.4,3027,364,4.6,2.6,2480,361,6,3.2,1352,255,5,7.7,787,136,0,24.3
80003,27523,862,10.3,1.4,1764,294,29.1,9.3,2462,526,7.2,3.9,9768,562,11.2,2.5,5109,442,6.7,2.8,4148,420,10.9,3.8,2518,305,2.4,3.5,1754,233,4.7,12.4
80004,28845,671,7.7,1.3,1728,256,23.2,7.6,2187,406,13,5.2,8260,498,5.9,1.8,5637,344,6.2,2.1,5041,399,6.8,2.8,2849,240,9,5.2,3143,313,0,19.5
80005,21425,614,5.7,1.2,1530,182,17.6,7.2,1364,224,7.8,4.9,6337,371,4.8,1.8,4690,333,5.8,3,3908,309,4.3,1.9,2256,212,4.7,4.3,1340,179,9.6,13.7
80007,5408,255,6.8,2.2,438,118,20.8,15.4,204,76,23.4,20.9,1294,104,3.5,2.8,1307,165,2.2,1.6,1259,156,9.9,6,643,78,5.9,6.2,263,74,42.9,35.1
80010,30041,978,14.6,1.8,2589,380,24.9,8.6,3627,415,18.1,4.3,13634,719,13.2,2.7,4385,411,15.1,4.2,3261,414,10.4,4.1,1322,206,12,8.4,1223,215,9,16.2
80011,34490,1068,13.9,1.5,2764,341,36.5,12.3,3946,526,13.4,4.5,13960,645,12.4,2.2,5456,495,13.2,3.4,4265,411,10.2,3.3,2327,272,15,11.1,1772,212,26.9,22.9
80012,36252,1085,12.3,1.5,2238,378,49.6,11,3652,532,16.8,5,13803,685,9.7,2.1,6028,512,10,2.7,5281,470,9.1,3.5,2830,326,10.4,5.9,2420,285,0,18.3
80013,53699,1179,9.8,1.1,3835,507,33.7,8.6,4264,503,12.8,3.7,22270,824,9.3,1.9,10558,622,6.7,1.7,8417,528,7,1.9,3030,278,10.3,5.8,1325,206,0,31.3
80014,30292,888,8.9,1.5,1397,319,38.8,16,1934,308,12.3,5.9,10096,592,8.1,2.4,4611,430,7,2.3,4938,454,7.9,2.7,3546,391,4.8,4.3,3770,314,5.1,7.6
80015,48239,892,7.5,0.9,4265,410,36.1,7.8,3206,415,12.6,3.7,19045,642,6.3,1.3,10465,485,4.4,1.4,7365,470,5.9,1.9,2658,294,4.6,3.6,1235,181,0,68
80016,31212,669,4.3,0.9,2360,342,22.9,10.1,2080,339,5,3.3,11806,571,3.1,1.1,6462,463,3.8,1.6,4567,404,3.6,1.5,2952,276,4.9,4.9,985,240,0,36
80017,25211,947,12.4,1.8,1869,348,53.7,15.7,2580,488,18.1,7.3,11104,575,10,2.2,4377,529,9.1,4.2,3274,346,10.1,3.3,1557,165,5.4,6.1,450,134,0,44.7
80018,7345,578,6.2,2.4,418,153,0,26.3,355,142,25.8,23.5,3370,438,6.2,3.9,1415,299,3.6,4.1,1201,248,5.5,4.8,395,165,0,17.2,191,128,-,**
80019,1712,392,10.6,5.1,179,139,0,40.7,152,117,21.1,18.8,668,195,14.5,10.6,430,172,3,4.9,147,95,14.2,24.7,72,73,0,38.9,64,53,0,76.6
80020,37349,640,7.2,1.2,2331,320,21.1,8.5,3125,320,13.6,5,14517,560,6.2,1.8,7306,353,3.3,1.2,5606,361,8.5,3.1,2562,197,12,7.1,1902,166,9.9,13.8
80021,25028,626,7.1,1.4,1509,241,20.6,10.3,2657,387,7.2,3.5,9775,586,6.9,1.9,4941,377,6.6,2.4,3261,364,5.9,3,1507,194,2.5,3.4,1378,257,0,29.9
80022,30967,850,11.6,1.7,2528,341,37.4,9.2,2332,342,19.6,7.2,13144,592,8.1,2.4,4987,433,13.3,3.5,4343,419,8.9,4,2304,324,3.1,2.7,1329,256,0,53.3
80023,11303,610,5.2,1.7,521,157,32.1,22.5,511,150,18.9,17.6,4087,456,2.9,2,2472,332,5,2.9,1754,335,5.1,6.6,1304,212,6.4,10.9,654,158,0,56
80024,282,216,47.5,26.1,29,45,48.3,8.7,54,77,100,40.4,139,107,0,28.7,44,61,100,44.7,16,20,0,74.1,0,12,-,**,0,12,-,**
80025,188,81,0,18.5,0,12,-,**,0,12,-,**,0,12,-,**,91,95,0,29.2,56,51,0,58.2,17,28,0,71.9,24,39,0,60.5
80026,21334,412,8.4,1.7,1149,245,16.8,13.8,1515,284,13.1,6.5,7729,485,5.4,2.3,4345,389,8.9,3.4,3858,336,12.1,4,1651,211,7.8,9.2,1087,255,0,22.9
80027,24595,368,4.8,0.9,1736,253,21.3,8.7,1929,351,4.7,3.6,9082,386,2.2,1.2,5653,360,5.8,2.1,3894,356,6.3,2.3,1246,147,7.3,5.8,1055,204,0,71.9
80030,11828,778,14.3,2.5,730,203,45.7,17.4,945,300,20,9.8,4479,446,10.3,3.4,2162,356,16.1,5.8,1609,254,13.1,5.3,826,165,0,19.1,1077,209,0,69.9
80031,26963,744,8.3,1.6,1442,262,30,10.4,2154,366,12.7,5.2,10414,628,7.9,2.4,4417,323,5.5,2.3,4382,356,3.4,1.7,2599,258,19.2,8.1,1555,260,4.9,8.7
80033,20427,522,9.9,1.8,1055,211,37.7,19.6,1302,310,22.7,11.8,6454,469,7.8,2.9,3810,354,7.7,3.4,3237,370,9,3.4,1890,238,9.8,7.3,2679,317,0,24.8
80045,529,142,5.1,6.5,0,12,-,**,170,134,0,39.3,297,131,2.2,3.4,11,17,-,**,33,30,33.3,44.7,18,46,-,**,0,12,-,**
80101,216,66,3.2,4.1,8,11,-,**,9,9,0,100,68,37,0,37.3,27,21,0,100,54,26,15.8,19.6,31,18,-,**,19,18,-,**
80102,4013,380,10.2,3,346,119,25,18.2,180,79,41,27.2,1365,231,9.3,5.1,938,195,6.9,3.4,842,158,5.5,5.8,192,75,14.8,22.3,150,56,0,100
80103,1877,258,5.4,3.1,74,42,23.5,48.9,116,63,0,26.3,560,149,6.3,8.5,439,107,11.5,6.4,391,121,0,9.1,233,72,1.9,4.5,64,55,0,100
