Zipcode,Total Population 2016,Total Population 2016 Margin of Error,Total Unemployment 2016,Total Unemployment 2016 margin of Error,Age Group 16-19 2016,Age Group 16-19 2016 Margin of Error,Age Group 16-19 2016 Unemployment,Age Group 16-19 2016 Unemployment Margin of Error,Age Group 20-24 2016,Age Group 20-24 2016 Margin of Error,Age Group 20-24 2016 Unemployment,Age Group 20-24 2016 Unemployment Margin of Error,Age Group 25-29 2016,Age Group 25-29 2016 Margin of Error,Age Group 25-29 2016 Unemployment,Age Group 25-29 2016 Unemployment Margin of Error,Age Group 30-34 2016,Age Group 30-34 2016 Margin of Error,Age Group 30-34 2016 Unemployment,Age Group 30-34 2016 Unemployment Margin of Error,Age Group 35-44 2016,Age Group 35-44 2016 Margin of Error,Age Group 35-44 2016 Unemployment,Age Group 35-44 2016 Unemployment Margin of Error,Age Group 45-54 2016,Age Group 45-54 2016 Margin of Error,Age Group 45-54 2016 Unemployment,Age Group 45-54 2016 Unemployment Margin of Error,Age Group 55-64 2016,Age Group 55-64 2016 Margin of Error,Age Group 55-64 2016 Unemployment,Age Group 55-64 2016 Unemployment Margin of Error,Age Group 60-64 2016,Age Group 60-64 2016 Margin of Error,Age Group 60-64 2016 Unemployment,Age Group 60-64 2016 Unemployment Margin of Error,Age Group 65-74 2016,Age Group 65-74 2016 Margin of Error,Age Group 65-74 2016 Unemployment,Age Group 65-74 2016 Unemployment Margin of Error,Age Group 75+ 2016,Age Group 75+ 2016 Margin of Error,Age Group 75+ 2016 Unemployment,Age Group 75+ 2016 Unemployment Margin of Error
67879,994,87,1.2,1.2,80,36,0,43.6,42,31,0,46.6,54,26,0,34.4,74,22,2.9,5.7,80,32,0,26.6,208,42,0,11.8,73,22,0,34.8,105,35,6.4,7.9,123,30,0,43.6,155,36,0,100
80002,15335,580,3.9,1.1,897,235,12.2,9.4,1568,336,3.8,2.9,1347,255,1.3,2.1,1417,271,6.1,4.2,2407,251,0.3,0.5,3197,368,4.1,2.4,1228,237,5.5,3.9,1005,168,5.9,5.4,1425,193,8.2,9.3,844,153,0,28.9
80003,29042,816,7.7,1.2,2007,353,25.6,9.5,2363,355,11.6,5.8,2665,458,4.9,3.4,2704,471,2.8,2.1,4732,387,6.8,2.6,5028,387,6.5,2.3,2455,284,8.1,4.3,2288,369,8.6,5.2,2863,338,4.5,3.9,1937,230,27.8,28.1
80004,30497,749,5.4,1.1,1846,323,21.2,9.2,1981,337,8.9,4.5,2468,329,8,5.2,2839,314,5.9,2.8,4222,405,4.2,1.9,5186,319,2.1,1.2,2857,307,4.2,1.9,2486,276,1.8,1.6,3115,248,7.8,5,3497,288,0,16.8
80005,22890,612,4.1,1.3,1444,236,20.2,10.3,1141,210,10.8,7.3,1132,195,4.4,3.5,1507,209,3.7,2.6,4041,284,2.4,1.7,4865,346,2.5,1.7,2172,246,3.2,2.3,2018,249,3.4,2,2928,261,2,2.3,1642,198,0,20.4
80007,6733,284,3.3,1.4,412,113,10.8,11.7,234,85,6.7,9.9,330,142,0,10.3,393,120,0,9,1352,166,4,3,1416,192,1.7,1.7,680,130,4.2,3.8,659,167,1.8,2.8,832,132,0,10.1,425,111,36.7,26.1
80010,31098,879,8.7,1.3,2383,330,24.2,9.2,3378,381,13,4.9,3629,347,10.2,4.5,3668,420,4.9,2,6390,464,6.7,2.2,5514,452,7.6,2.3,1937,294,7.9,4.8,1245,260,5.5,5.3,1657,198,4.3,4.9,1297,194,0,27.7
80011,36229,1080,8.1,1.4,2632,382,21.7,9.5,4196,532,11.6,3.9,3925,456,10.9,4.1,3780,455,5.4,3.3,6604,613,7.2,2.7,5939,517,5.6,1.8,2436,323,5.1,4.4,2149,374,4.6,3.3,2560,264,8.8,4.8,2008,245,11.1,14.6
80012,38930,1042,9.8,1.3,2566,364,31.7,9.5,3970,503,14,5.3,4350,434,10,3.4,3611,400,11.8,4.6,7268,553,6.1,2.2,5975,503,7,2.2,2903,351,7.6,3.7,2915,331,8,4.5,3043,320,7.1,4.8,2329,194,16.5,20
80013,55788,1256,6.3,0.9,3812,405,21.2,8,4425,479,11.6,3.6,5333,474,8.6,3.4,6444,565,5.7,2.2,10996,593,4.2,1.5,10352,560,3.7,1.1,4687,385,4.8,2.4,3946,340,3.5,2.3,4157,345,6,4.2,1636,212,11.4,16.6
80014,32836,916,6.6,1.1,1549,260,31,13.9,2315,431,11.4,5,2818,331,7.6,3,3179,413,8.2,4.5,5179,469,4.8,1.8,4671,492,4.3,1.8,2247,324,5.2,3.4,2609,288,4.4,3,4345,384,1.8,2,3924,360,6.7,8.8
80015,50320,969,4.8,0.8,4120,427,20.3,6.7,3510,401,9.8,4.2,3849,340,3.9,2,4484,413,2.9,1.4,10372,552,3.1,1.2,10409,555,3.6,1.2,4716,369,3.2,1.8,3942,335,5,3,3405,252,5.3,3.5,1513,209,3.5,8.1
80016,36825,920,3.2,0.6,2745,307,10.1,5.6,2564,311,8.1,3.7,2553,308,5.6,3.9,2709,350,1.2,1,8128,446,2.2,0.9,7658,472,2.5,1.2,2889,329,2.8,1.9,2208,261,0.8,1.2,3887,313,1.5,1.7,1484,216,5.4,8.1
80017,26464,858,7.2,1.5,1557,315,33.9,12.1,2768,472,10.9,5.9,2932,359,4.1,2.5,3259,427,7,3.7,4835,407,6.7,3.3,4238,426,5.5,3.3,2362,332,6,3.3,1812,283,3.5,3,1911,299,3.4,4,790,233,57.1,43.8
80018,7948,495,5.6,2.1,234,104,36.7,36,400,195,26.1,20.3,657,180,8.8,5.6,1037,206,2.7,3.6,2436,381,1.3,1.5,1408,292,7.2,5.9,561,138,9.1,8.1,504,144,3.9,6,605,124,0,11.1,106,66,-,**
80019,1760,377,6.4,6,167,112,0,100,140,107,0,19.2,177,119,31.6,38.8,89,67,0,27.9,327,123,5.1,8.6,447,166,0,6.5,155,100,13.5,21.3,65,56,0,34.9,137,97,0,32.7,56,45,-,**
80020,38485,612,5.4,0.9,2329,260,14.2,6.3,2788,261,9.4,3.9,3378,281,7.7,3.2,3878,285,4,2.2,7253,324,3.5,1.3,7147,306,3.6,1.1,3789,290,3.4,2,2840,248,7.9,4.4,3177,198,10.5,7,1906,149,0,24.1
