City_x,County,Zipcode,Total Population 2013,Total Population 2013 Margin of Error,Total Unemployment 2013,Total Unemployment 2013 margin of Error,Age Group 16-19 2013,Age Group 16-19 2013 Margin of Error,Age Group 16-19 2013 Unemployment,Age Group 16-19 2013 Unemployment Margin of Error,Age Group 20-24 2013,Age Group 20-24 2013 Margin of Error,Age Group 20-24 2013 Unemployment,Age Group 20-24 2013 Unemployment Margin of Error,Age Group 25-44 2013,Age Group 25-44 2013 Margin of Error,Age Group 25-44 2013 Unemployment,Age Group 25-44 2013 Unemployment Margin of Error,Age Group 45-54 2013,Age Group 45-54 2013 Margin of Error,Age Group 45-54 2013 Unemployment,Age Group 45-54 2013 Unemployment Margin of Error,Age Group 55-64 2013,Age Group 55-64 2013 Margin of Error,Age Group 55-64 2013 Unemployment,Age Group 55-64 2013 Unemployment Margin of Error,Age Group 65-74 2013,Age Group 65-74 2013 Margin of Error,Age Group 65-74 2013 Unemployment,Age Group 65-74 2013 Unemployment Margin of Error,Age Group 75+ 2013,Age Group 75+ 2013 Margin of Error,Age Group 75+ 2013 Unemployment,Age Group 75+ 2013 Unemployment Margin of Error,License,Street,City_y
Aurora,Arapahoe,80010,30041.0,978.0,14.6,1.8,2589.0,380.0,24.9,8.6,3627.0,415.0,18.1,4.3,13634.0,719.0,13.2,2.7,4385.0,411.0,15.1,4.2,3261.0,414.0,10.4,4.1,1322.0,206.0,12,8.4,1223.0,215.0,9,16.2,402R-00334,"11900 East 33rd Avenue, Suite 1",Aurora
Aurora,Arapahoe,80010,30041.0,978.0,14.6,1.8,2589.0,380.0,24.9,8.6,3627.0,415.0,18.1,4.3,13634.0,719.0,13.2,2.7,4385.0,411.0,15.1,4.2,3261.0,414.0,10.4,4.1,1322.0,206.0,12,8.4,1223.0,215.0,9,16.2,402R-00293,503 Havana Street,Aurora
Aurora,Arapahoe,80010,30041.0,978.0,14.6,1.8,2589.0,380.0,24.9,8.6,3627.0,415.0,18.1,4.3,13634.0,719.0,13.2,2.7,4385.0,411.0,15.1,4.2,3261.0,414.0,10.4,4.1,1322.0,206.0,12,8.4,1223.0,215.0,9,16.2,402R-00267,"1408 Del Mar Parkway, Units D1 & D2",Aurora
Aurora,Arapahoe,80010,30041.0,978.0,14.6,1.8,2589.0,380.0,24.9,8.6,3627.0,415.0,18.1,4.3,13634.0,719.0,13.2,2.7,4385.0,411.0,15.1,4.2,3261.0,414.0,10.4,4.1,1322.0,206.0,12,8.4,1223.0,215.0,9,16.2,402R-00302,"1450 Havana Street, Suites C & D",Aurora
Aurora,Arapahoe,80010,30041.0,978.0,14.6,1.8,2589.0,380.0,24.9,8.6,3627.0,415.0,18.1,4.3,13634.0,719.0,13.2,2.7,4385.0,411.0,15.1,4.2,3261.0,414.0,10.4,4.1,1322.0,206.0,12,8.4,1223.0,215.0,9,16.2,402R-00301,10455 East Colfax Avenue,Aurora
Aurora,Adams,80011,34490.0,1068.0,13.9,1.5,2764.0,341.0,36.5,12.3,3946.0,526.0,13.4,4.5,13960.0,645.0,12.4,2.2,5456.0,495.0,13.2,3.4,4265.0,411.0,10.2,3.3,2327.0,272.0,15,11.1,1772.0,212.0,26.9,22.9,402R-00290,19201 East Colfax Avenue,Aurora
Aurora,Adams,80011,34490.0,1068.0,13.9,1.5,2764.0,341.0,36.5,12.3,3946.0,526.0,13.4,4.5,13960.0,645.0,12.4,2.2,5456.0,495.0,13.2,3.4,4265.0,411.0,10.2,3.3,2327.0,272.0,15,11.1,1772.0,212.0,26.9,22.9,402R-00333,1401 Peoria Street,Aurora
Aurora,Adams,80011,34490.0,1068.0,13.9,1.5,2764.0,341.0,36.5,12.3,3946.0,526.0,13.4,4.5,13960.0,645.0,12.4,2.2,5456.0,495.0,13.2,3.4,4265.0,411.0,10.2,3.3,2327.0,272.0,15,11.1,1772.0,212.0,26.9,22.9,402R-00323,719 Billings Street,Aurora
Aurora,Adams,80011,34490.0,1068.0,13.9,1.5,2764.0,341.0,36.5,12.3,3946.0,526.0,13.4,4.5,13960.0,645.0,12.4,2.2,5456.0,495.0,13.2,3.4,4265.0,411.0,10.2,3.3,2327.0,272.0,15,11.1,1772.0,212.0,26.9,22.9,402R-00303,14301 East Colfax Avenue,Aurora
Aurora,Arapahoe,80012,36252.0,1085.0,12.3,1.5,2238.0,378.0,49.6,11,3652.0,532.0,16.8,5,13803.0,685.0,9.7,2.1,6028.0,512.0,10,2.7,5281.0,470.0,9.1,3.5,2830.0,326.0,10.4,5.9,2420.0,285.0,0,18.3,402R-00269,"11091 East Mississippi Avenue, Suite A",Aurora
