City_x,County,Zipcode,Total Population 2016,Total Population 2016 Margin of Error,Total Unemployment 2016,Total Unemployment 2016 margin of Error,Age Group 16-19 2016,Age Group 16-19 2016 Margin of Error,Age Group 16-19 2016 Unemployment,Age Group 16-19 2016 Unemployment Margin of Error,Age Group 20-24 2016,Age Group 20-24 2016 Margin of Error,Age Group 20-24 2016 Unemployment,Age Group 20-24 2016 Unemployment Margin of Error,Age Group 25-29 2016,Age Group 25-29 2016 Margin of Error,Age Group 25-29 2016 Unemployment,Age Group 25-29 2016 Unemployment Margin of Error,Age Group 30-34 2016,Age Group 30-34 2016 Margin of Error,Age Group 30-34 2016 Unemployment,Age Group 30-34 2016 Unemployment Margin of Error,Age Group 35-44 2016,Age Group 35-44 2016 Margin of Error,Age Group 35-44 2016 Unemployment,Age Group 35-44 2016 Unemployment Margin of Error,Age Group 45-54 2016,Age Group 45-54 2016 Margin of Error,Age Group 45-54 2016 Unemployment,Age Group 45-54 2016 Unemployment Margin of Error,Age Group 55-64 2016,Age Group 55-64 2016 Margin of Error,Age Group 55-64 2016 Unemployment,Age Group 55-64 2016 Unemployment Margin of Error,Age Group 60-64 2016,Age Group 60-64 2016 Margin of Error,Age Group 60-64 2016 Unemployment,Age Group 60-64 2016 Unemployment Margin of Error,Age Group 65-74 2016,Age Group 65-74 2016 Margin of Error,Age Group 65-74 2016 Unemployment,Age Group 65-74 2016 Unemployment Margin of Error,Age Group 75+ 2016,Age Group 75+ 2016 Margin of Error,Age Group 75+ 2016 Unemployment,Age Group 75+ 2016 Unemployment Margin of Error,License,Street,City_y
Aurora,Arapahoe,80010,31098.0,879.0,8.7,1.3,2383.0,330.0,24.2,9.2,3378.0,381.0,13.0,4.9,3629.0,347.0,10.2,4.5,3668.0,420.0,4.9,2,6390.0,464.0,6.7,2.2,5514.0,452.0,7.6,2.3,1937.0,294.0,7.9,4.8,1245.0,260.0,5.5,5.3,1657.0,198.0,4.3,4.9,1297.0,194.0,0.0,27.7,402R-00334,"11900 East 33rd Avenue, Suite 1",Aurora
Aurora,Arapahoe,80010,31098.0,879.0,8.7,1.3,2383.0,330.0,24.2,9.2,3378.0,381.0,13.0,4.9,3629.0,347.0,10.2,4.5,3668.0,420.0,4.9,2,6390.0,464.0,6.7,2.2,5514.0,452.0,7.6,2.3,1937.0,294.0,7.9,4.8,1245.0,260.0,5.5,5.3,1657.0,198.0,4.3,4.9,1297.0,194.0,0.0,27.7,402R-00293,503 Havana Street,Aurora
Aurora,Arapahoe,80010,31098.0,879.0,8.7,1.3,2383.0,330.0,24.2,9.2,3378.0,381.0,13.0,4.9,3629.0,347.0,10.2,4.5,3668.0,420.0,4.9,2,6390.0,464.0,6.7,2.2,5514.0,452.0,7.6,2.3,1937.0,294.0,7.9,4.8,1245.0,260.0,5.5,5.3,1657.0,198.0,4.3,4.9,1297.0,194.0,0.0,27.7,402R-00267,"1408 Del Mar Parkway, Units D1 & D2",Aurora
Aurora,Arapahoe,80010,31098.0,879.0,8.7,1.3,2383.0,330.0,24.2,9.2,3378.0,381.0,13.0,4.9,3629.0,347.0,10.2,4.5,3668.0,420.0,4.9,2,6390.0,464.0,6.7,2.2,5514.0,452.0,7.6,2.3,1937.0,294.0,7.9,4.8,1245.0,260.0,5.5,5.3,1657.0,198.0,4.3,4.9,1297.0,194.0,0.0,27.7,402R-00302,"1450 Havana Street, Suites C & D",Aurora
Aurora,Arapahoe,80010,31098.0,879.0,8.7,1.3,2383.0,330.0,24.2,9.2,3378.0,381.0,13.0,4.9,3629.0,347.0,10.2,4.5,3668.0,420.0,4.9,2,6390.0,464.0,6.7,2.2,5514.0,452.0,7.6,2.3,1937.0,294.0,7.9,4.8,1245.0,260.0,5.5,5.3,1657.0,198.0,4.3,4.9,1297.0,194.0,0.0,27.7,402R-00301,10455 East Colfax Avenue,Aurora
Aurora,Adams,80011,36229.0,1080.0,8.1,1.4,2632.0,382.0,21.7,9.5,4196.0,532.0,11.6,3.9,3925.0,456.0,10.9,4.1,3780.0,455.0,5.4,3.3,6604.0,613.0,7.2,2.7,5939.0,517.0,5.6,1.8,2436.0,323.0,5.1,4.4,2149.0,374.0,4.6,3.3,2560.0,264.0,8.8,4.8,2008.0,245.0,11.1,14.6,402R-00290,19201 East Colfax Avenue,Aurora
Aurora,Adams,80011,36229.0,1080.0,8.1,1.4,2632.0,382.0,21.7,9.5,4196.0,532.0,11.6,3.9,3925.0,456.0,10.9,4.1,3780.0,455.0,5.4,3.3,6604.0,613.0,7.2,2.7,5939.0,517.0,5.6,1.8,2436.0,323.0,5.1,4.4,2149.0,374.0,4.6,3.3,2560.0,264.0,8.8,4.8,2008.0,245.0,11.1,14.6,402R-00333,1401 Peoria Street,Aurora
Aurora,Adams,80011,36229.0,1080.0,8.1,1.4,2632.0,382.0,21.7,9.5,4196.0,532.0,11.6,3.9,3925.0,456.0,10.9,4.1,3780.0,455.0,5.4,3.3,6604.0,613.0,7.2,2.7,5939.0,517.0,5.6,1.8,2436.0,323.0,5.1,4.4,2149.0,374.0,4.6,3.3,2560.0,264.0,8.8,4.8,2008.0,245.0,11.1,14.6,402R-00323,719 Billings Street,Aurora
Aurora,Adams,80011,36229.0,1080.0,8.1,1.4,2632.0,382.0,21.7,9.5,4196.0,532.0,11.6,3.9,3925.0,456.0,10.9,4.1,3780.0,455.0,5.4,3.3,6604.0,613.0,7.2,2.7,5939.0,517.0,5.6,1.8,2436.0,323.0,5.1,4.4,2149.0,374.0,4.6,3.3,2560.0,264.0,8.8,4.8,2008.0,245.0,11.1,14.6,402R-00303,14301 East Colfax Avenue,Aurora
Aurora,Arapahoe,80012,38930.0,1042.0,9.8,1.3,2566.0,364.0,31.7,9.5,3970.0,503.0,14.0,5.3,4350.0,434.0,10.0,3.4,3611.0,400.0,11.8,4.6,7268.0,553.0,6.1,2.2,5975.0,503.0,7.0,2.2,2903.0,351.0,7.6,3.7,2915.0,331.0,8.0,4.5,3043.0,320.0,7.1,4.8,2329.0,194.0,16.5,20,402R-00269,"11091 East Mississippi Avenue, Suite A",Aurora
