City_x,County,Zipcode,Total Households 2012,Total Households 2012 Margin of Error,Total Households Income 2012,Total Households Income 2012 Margin of Error,Total Households 2013,Total Households 2013 Margin of Error,Total Households Income 2013,Total Households Income 2013 Margin of Error,Total Households 2014,Total Households 2014 Margin of Error,Total Households Income 2014,Total Households Income 2014 Margin of Error,Total Households 2015,Total Households 2015 Margin of Error,Total Households Income 2015,Total Households Income 2015 Margin of Error,Total Households 2016,Total Households 2016 Margin of Error,Total Households Income 2016,Total Households Income 2016 Margin of Error,License,Street,City_y
Arvada,Jefferson,80001,,,,,,,,,,,,,,,,,,,,,,,
Arvada,Jefferson,80002,8264.0,311.0,49036,3339,8304.0,259.0,50425,5308,8107.0,230.0,51027,4668,8227.0,246.0,48627,5229,8196.0,234.0,53186,3559,,,
Arvada,Jefferson,80003,13639.0,305.0,56398,3029,13630.0,333.0,54688,3112,13844.0,339.0,56833,3275,14198.0,325.0,57934,3295,13970.0,353.0,59098,2399,,,
Arvada,Jefferson,80004,14527.0,274.0,66043,3732,14502.0,266.0,67830,3601,14759.0,293.0,67371,2615,14814.0,326.0,67824,3425,14915.0,305.0,70968,3676,,,
Arvada,Jefferson,80005,10315.0,249.0,83125,4074,10243.0,220.0,84501,3015,10396.0,201.0,83819,4787,10671.0,246.0,84900,3952,10923.0,203.0,89189,5256,,,
Arvada,Jefferson,80006,,,,,,,,,,,,,,,,,,,,,,,
Arvada,Jefferson,80007,2528.0,94.0,127188,9556,2545.0,96.0,120202,11041,2578.0,75.0,120972,8688,2742.0,92.0,130556,10587,3124.0,119.0,136295,7000,,,
Aurora,Arapahoe,80010,13052.0,368.0,32544,1573,12817.0,346.0,32527,1440,12825.0,314.0,34587,1918,12952.0,268.0,35205,2132,13090.0,272.0,36754,2214,402R-00334,"11900 East 33rd Avenue, Suite 1",Aurora
Aurora,Arapahoe,80010,13052.0,368.0,32544,1573,12817.0,346.0,32527,1440,12825.0,314.0,34587,1918,12952.0,268.0,35205,2132,13090.0,272.0,36754,2214,402R-00293,503 Havana Street,Aurora
Aurora,Arapahoe,80010,13052.0,368.0,32544,1573,12817.0,346.0,32527,1440,12825.0,314.0,34587,1918,12952.0,268.0,35205,2132,13090.0,272.0,36754,2214,402R-00267,"1408 Del Mar Parkway, Units D1 & D2",Aurora
Aurora,Arapahoe,80010,13052.0,368.0,32544,1573,12817.0,346.0,32527,1440,12825.0,314.0,34587,1918,12952.0,268.0,35205,2132,13090.0,272.0,36754,2214,402R-00302,"1450 Havana Street, Suites C & D",Aurora
