RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
93194,80002,Arvada,CO,Denver,Jefferson,5587,184700,185000,184600,184000,183600,183300,182600,182200,181500,180900,180600,180100,178500,177300,177000,176300,174300,171900,170300,169900,169700,169200,168800,168800,169000,169300,170300,172200,174900,178000,180700,182200,183300,184500,185600,186300,186800,187900,189700,191300,192600,193900,195300,197000,199100,201500,204100,206500,208400,209800,211200,213400,216800,220700,224200,227300,230800,234600,238100,241900,246300,249900,252300,255300,259200,263400,267500,270600,272700,274600,276900,279300,281800,284900,288500,292300,295600,298600,302100,306400,309800,312900,316000,319100,322200,325900,329200,331900,333300,334700,336800,339700,343000,347200,352500,357700,363000,367600,370800,372100,373900,375800,376800
93195,80003,Arvada,CO,Denver,Jefferson,2257,186700,186900,187300,188100,188500,188300,187900,187500,187200,186900,186300,185600,184700,183800,182700,181700,180500,179200,178400,178200,178000,178100,178600,179000,179100,179400,180100,181400,183300,185800,188000,189500,190900,192500,193400,193600,193800,194800,197000,199600,202200,204100,206200,208600,210600,212000,213700,215300,217000,218400,219400,220100,221900,224200,226400,228500,231100,233800,237000,241000,245200,248800,252300,256000,259700,263800,268300,272100,275300,278200,281200,284400,287100,289500,292000,295000,298000,301000,304500,308600,312400,315700,318900,321900,325000,328700,332000,334300,335700,336800,337300,338100,339800,342800,346400,350300,354700,358900,361800,363400,364800,366100,366900
93196,80004,Arvada,CO,Denver,Jefferson,2029,214100,214400,214300,213900,213700,213700,213400,212700,211800,211500,211500,211300,210300,209200,208500,208400,207900,207100,207000,207900,208900,209600,210000,210500,211200,211800,212700,213900,215400,217300,218500,219100,219800,221100,222200,222800,222900,223700,225300,226800,228400,229900,232100,234500,235800,236600,238900,241400,242800,243900,246000,248800,252200,255300,257700,259800,262400,264900,267100,270100,273700,277200,280500,284700,289500,294800,299900,304900,309800,314300,318900,323600,327300,330200,333100,336800,341000,345200,349200,353100,356800,360300,363300,366100,370200,375100,378500,380000,379900,379600,379700,380000,381500,384100,386800,389600,394300,399500,403300,404200,404000,404200,404800
93197,80005,Arvada,CO,Denver,Jefferson,3875,252600,252900,252900,253400,254000,253500,252300,250900,249800,248900,248400,247800,246900,246400,246400,245900,244300,242700,242100,242500,243100,243800,244800,245600,245900,246000,246600,248000,250100,252400,254800,256700,258700,261200,263200,264400,265200,266700,268800,271200,273900,276700,279400,281800,282900,283300,284800,287100,288900,290000,291300,293300,296700,300100,302500,304600,307200,309900,312700,315700,318700,321800,325200,329000,333000,337200,341400,345400,349700,353300,356600,360200,363800,366600,368900,371200,373200,375500,378300,381600,384200,387200,390800,394300,398300,403400,407900,411200,413300,414500,414900,415300,416600,418500,419800,421300,424400,427800,429800,429400,428600,428900,430100
93199,80007,Arvada,CO,Denver,Jefferson,7864,414000,414900,413900,412200,411100,410100,408800,407700,406600,406300,407700,409400,408700,407200,407300,406500,404700,405100,407200,409100,410500,410400,409600,409100,408600,408200,408800,411200,414800,417500,418800,418900,418500,419900,422200,423500,424800,426400,429100,432500,435900,438800,442500,446700,450300,453500,456800,459100,459600,459100,458600,459600,461800,463700,465400,468000,470900,473600,476200,479900,484500,489400,493900,498900,504200,508500,511300,514600,518900,522400,525600,528600,530200,530800,533100,536500,540000,543700,548300,552400,554500,555500,557900,561900,566800,572100,575700,575900,574400,575200,575700,574600,576100,579600,579600,578300,582100,589700,595800,598700,601300,603000,603100
93200,80010,Aurora,CO,Denver,Arapahoe,2498,104700,105100,105600,106800,108200,109100,109500,109600,110100,110400,109900,109400,109500,110000,110300,109700,108000,106200,105000,104400,103500,103100,103700,104000,103700,103800,104500,105600,106900,108300,109400,110300,111600,112800,113600,114300,115300,116700,118100,119800,122100,124700,127400,129600,131100,132200,133600,134900,136000,137100,138500,139900,141600,143600,146000,148700,151400,153700,156100,159400,163100,166000,168600,171900,175500,179300,182600,185700,188900,192300,195400,198800,202200,205100,207800,210800,213900,216700,219400,222700,226400,229600,232700,235900,238700,241300,244200,246700,248600,250200,251200,252500,253900,255800,258700,261600,265100,269600,273500,276000,278500,281500,283900
93201,80011,Aurora,CO,Denver,Arapahoe,1215,124700,124800,126000,128200,129300,129000,129000,128400,127400,126800,126500,125800,124800,123700,122800,122300,122400,122300,121700,121000,120200,119800,120100,120100,119600,119400,119000,118800,119200,120100,121000,121900,122900,123800,124900,126400,128500,131500,134400,136100,137600,139500,141400,143500,145500,147600,149600,151200,152400,153600,154800,156500,158900,161300,163900,166700,169400,172000,174300,177300,180900,184000,186900,190000,193200,197000,200800,204100,207400,210600,213600,217000,220200,222900,226100,229900,233400,236300,239100,241800,244600,247400,250000,252400,254700,257200,259400,261200,262800,264200,265200,267500,270200,272200,274400,277100,280800,285200,288600,290800,293900,297100,298800
93202,80012,Aurora,CO,Denver,Arapahoe,796,139600,139900,140100,140700,141100,140500,139700,139400,139600,139900,139900,138700,136600,134700,133200,132100,131600,131000,129600,128100,126600,125300,124700,124600,124800,126200,128500,130100,130600,131300,132700,134500,136200,137800,139300,141200,142800,144500,146500,148800,151600,155200,158600,161200,163400,165300,167000,168200,169300,169800,169900,170200,170800,171400,172800,175200,177600,179800,182100,184800,188000,191000,194300,198400,203500,209000,214200,218300,222100,225800,229600,233800,237600,240600,243100,245500,247400,249300,251700,254100,256200,257900,259700,262100,264700,267300,269500,271300,272600,273600,274300,275900,277800,280300,283400,287000,291500,296000,299400,301700,303600,305100,305700
93203,80013,Aurora,CO,Denver,Arapahoe,137,175500,176000,176700,177800,178800,178900,178600,177800,176600,175400,174400,173300,171700,169400,167500,165900,164000,162600,161500,160500,159500,158900,159300,159900,160400,161200,162400,163800,165600,167600,169600,171900,174400,176700,178600,180200,181400,183100,185100,186700,188300,190600,193500,196000,198000,199500,200600,201400,202300,203400,204700,206800,209400,211700,213800,216000,218400,220900,223600,226700,229900,233000,236200,239800,243900,248000,251400,254900,258400,261500,263600,266100,268800,271200,273500,276300,279000,281300,283300,285200,287200,289400,291500,294000,297400,301400,304500,306300,307200,308100,309000,310600,312500,315000,318300,322100,326400,330800,333700,335200,336000,336400,336600
93204,80014,Aurora,CO,Denver,Arapahoe,900,144300,144700,145500,146700,147800,148000,147800,147400,146900,146200,145500,144900,143700,141600,139200,137400,136000,134900,134000,133200,132300,131400,131100,130800,130400,130500,131700,133100,134400,135600,137100,138900,140900,142700,144000,145300,146800,148800,150900,152900,154700,156700,158800,160800,162700,164300,165800,166800,167800,169200,170400,171400,172600,174400,176500,178600,181000,183600,185900,188600,191900,195400,198300,201600,205500,209900,213500,216500,219000,221300,223500,225800,228100,229800,231300,233200,235200,237000,239000,241100,243200,245100,246900,249600,252700,255800,258400,260300,261800,263200,264100,265300,266900,269000,272200,275500,279200,283300,286400,288000,289000,289300,289300
93205,80015,Aurora,CO,Denver,Arapahoe,309,222600,223200,223300,223400,223800,223400,222500,221700,220800,220100,219700,219400,217600,214800,212800,211900,211300,211100,211100,211000,210600,210400,211200,212000,213000,214600,216400,218000,219900,221900,223800,225700,227800,230300,232000,233400,234700,236700,239200,241300,242900,244900,247200,249000,250400,251000,251800,252700,253800,255100,256800,258800,261000,263000,265600,269200,273100,276100,279000,282200,285500,288500,291900,295900,300200,305200,310100,314000,317200,319900,322100,324500,327300,329900,332200,334800,338000,340600,342300,343700,345300,347500,349700,352600,356600,361300,364600,366700,368100,369300,369700,370700,372300,374800,377900,381500,385400,389000,391400,392500,392700,391700,390900
